P,Q,ICO,A4,D10,D6
1,1,TRUE,TRUE,TRUE,TRUE
1,2,FALSE,FALSE,TRUE,TRUE
1,3,FALSE,TRUE,TRUE,TRUE
1,4,FALSE,FALSE,TRUE,TRUE
1,5,FALSE,FALSE,TRUE,TRUE
1,6,FALSE,FALSE,TRUE,TRUE
1,7,FALSE,FALSE,TRUE,TRUE
1,8,FALSE,FALSE,TRUE,TRUE
1,9,FALSE,FALSE,TRUE,TRUE
1,10,FALSE,FALSE,TRUE,TRUE
1,11,FALSE,FALSE,TRUE,TRUE
1,12,FALSE,FALSE,TRUE,TRUE
1,13,FALSE,FALSE,TRUE,TRUE
1,14,FALSE,FALSE,TRUE,TRUE
1,15,FALSE,FALSE,FALSE,TRUE
1,16,FALSE,TRUE,TRUE,TRUE
1,17,FALSE,FALSE,FALSE,TRUE
1,18,FALSE,TRUE,TRUE,TRUE
1,19,FALSE,FALSE,FALSE,TRUE
1,20,FALSE,FALSE,FALSE,TRUE
1,21,FALSE,FALSE,FALSE,TRUE
1,22,FALSE,FALSE,FALSE,TRUE
1,23,FALSE,FALSE,FALSE,TRUE
1,24,FALSE,FALSE,FALSE,FALSE
1,25,FALSE,FALSE,FALSE,TRUE
1,26,FALSE,FALSE,FALSE,TRUE
1,27,FALSE,FALSE,FALSE,TRUE
1,28,FALSE,FALSE,FALSE,TRUE
1,29,FALSE,FALSE,FALSE,TRUE
1,30,FALSE,FALSE,FALSE,TRUE
1,31,FALSE,FALSE,TRUE,TRUE
1,32,FALSE,FALSE,FALSE,TRUE
1,33,FALSE,FALSE,TRUE,TRUE
1,34,FALSE,FALSE,FALSE,TRUE
1,35,FALSE,FALSE,TRUE,TRUE
1,36,FALSE,FALSE,FALSE,TRUE
1,37,FALSE,FALSE,FALSE,TRUE
1,38,FALSE,FALSE,FALSE,TRUE
1,39,FALSE,FALSE,FALSE,TRUE
1,40,FALSE,FALSE,FALSE,TRUE
1,41,FALSE,FALSE,FALSE,TRUE
1,42,FALSE,FALSE,FALSE,TRUE
1,43,FALSE,FALSE,FALSE,TRUE
1,44,FALSE,FALSE,FALSE,TRUE
1,45,FALSE,FALSE,FALSE,TRUE
1,46,FALSE,FALSE,FALSE,TRUE
1,47,FALSE,FALSE,FALSE,TRUE
1,48,FALSE,FALSE,FALSE,TRUE
1,49,FALSE,FALSE,FALSE,TRUE
1,50,FALSE,FALSE,FALSE,TRUE
1,51,FALSE,FALSE,FALSE,TRUE
1,52,FALSE,FALSE,FALSE,TRUE
1,53,FALSE,FALSE,FALSE,TRUE
1,54,FALSE,FALSE,FALSE,TRUE
1,55,FALSE,FALSE,FALSE,TRUE
2,1,FALSE,FALSE,TRUE,TRUE
2,2,TRUE,TRUE,TRUE,TRUE
2,3,FALSE,FALSE,TRUE,TRUE
2,4,FALSE,FALSE,TRUE,TRUE
2,5,FALSE,FALSE,TRUE,TRUE
2,6,FALSE,TRUE,TRUE,TRUE
2,7,FALSE,FALSE,TRUE,TRUE
2,8,FALSE,FALSE,TRUE,TRUE
2,9,FALSE,FALSE,TRUE,TRUE
2,10,FALSE,FALSE,TRUE,TRUE
2,11,FALSE,FALSE,TRUE,TRUE
2,12,FALSE,FALSE,TRUE,TRUE
2,13,FALSE,FALSE,TRUE,TRUE
2,14,FALSE,FALSE,FALSE,TRUE
2,15,FALSE,FALSE,TRUE,TRUE
2,16,FALSE,FALSE,FALSE,TRUE
2,17,FALSE,FALSE,TRUE,TRUE
2,18,FALSE,FALSE,FALSE,TRUE
2,19,FALSE,TRUE,TRUE,TRUE
2,20,FALSE,TRUE,FALSE,TRUE
2,21,FALSE,FALSE,FALSE,TRUE
2,22,FALSE,FALSE,TRUE,TRUE
2,23,FALSE,FALSE,TRUE,TRUE
2,24,FALSE,FALSE,TRUE,TRUE
2,25,FALSE,FALSE,FALSE,TRUE
2,26,FALSE,FALSE,FALSE,TRUE
2,27,FALSE,FALSE,TRUE,TRUE
2,28,FALSE,FALSE,TRUE,TRUE
2,29,FALSE,FALSE,FALSE,TRUE
2,30,FALSE,FALSE,FALSE,TRUE
2,31,FALSE,FALSE,FALSE,TRUE
2,32,FALSE,FALSE,TRUE,TRUE
2,33,FALSE,FALSE,FALSE,TRUE
2,34,FALSE,FALSE,TRUE,TRUE
2,35,FALSE,FALSE,FALSE,TRUE
2,36,FALSE,FALSE,TRUE,TRUE
2,37,FALSE,FALSE,FALSE,TRUE
2,38,FALSE,FALSE,FALSE,TRUE
2,39,FALSE,FALSE,FALSE,TRUE
2,40,FALSE,FALSE,FALSE,TRUE
2,41,FALSE,FALSE,FALSE,TRUE
2,42,FALSE,FALSE,TRUE,TRUE
2,43,FALSE,FALSE,TRUE,TRUE
2,44,FALSE,FALSE,TRUE,TRUE
2,45,FALSE,FALSE,FALSE,TRUE
2,46,FALSE,FALSE,FALSE,TRUE
2,47,FALSE,FALSE,FALSE,TRUE
2,48,FALSE,FALSE,FALSE,TRUE
2,49,FALSE,FALSE,FALSE,TRUE
2,50,FALSE,FALSE,TRUE,TRUE
2,51,FALSE,FALSE,FALSE,TRUE
2,52,FALSE,FALSE,FALSE,TRUE
2,53,FALSE,FALSE,FALSE,TRUE
2,54,FALSE,FALSE,FALSE,TRUE
2,55,FALSE,FALSE,FALSE,TRUE
3,1,FALSE,TRUE,TRUE,TRUE
3,2,FALSE,FALSE,TRUE,TRUE
3,3,TRUE,TRUE,TRUE,TRUE
3,4,FALSE,FALSE,TRUE,TRUE
3,5,FALSE,FALSE,TRUE,TRUE
3,6,FALSE,FALSE,TRUE,TRUE
3,7,FALSE,FALSE,TRUE,TRUE
3,8,FALSE,FALSE,TRUE,TRUE
3,9,FALSE,FALSE,TRUE,TRUE
3,10,FALSE,FALSE,TRUE,TRUE
3,11,FALSE,FALSE,TRUE,TRUE
3,12,FALSE,FALSE,TRUE,TRUE
3,13,FALSE,FALSE,TRUE,TRUE
3,14,FALSE,TRUE,TRUE,TRUE
3,15,FALSE,FALSE,FALSE,TRUE
3,16,FALSE,TRUE,TRUE,TRUE
3,17,FALSE,FALSE,FALSE,TRUE
3,18,FALSE,FALSE,TRUE,TRUE
3,19,FALSE,FALSE,FALSE,TRUE
3,20,FALSE,FALSE,FALSE,TRUE
3,21,FALSE,FALSE,FALSE,TRUE
